split,image_id,method,perturbation,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error,gpu
stage1_train_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,cellpose_cpsam,clean,0.5,669.652,23,18,17,1,6,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.7966713894853751,0.8808343540075955,-5,5,True
stage1_train_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,cellpose_cpsam,clean,0.5,667.96,12,13,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.796225795907988,0.8844717675389944,1,1,True
stage1_train_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,cellpose_cpsam,clean,0.5,3733.813,136,80,60,20,76,0.75,0.4411764705882353,0.5555555555555556,0.7515675699983663,0.8523986062890642,-56,56,True
stage1_train_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,cellpose_cpsam,clean,0.5,714.91,27,25,25,0,2,1.0,0.925925925925926,0.9615384615384616,0.9167968160784812,0.953500136567953,-2,2,True
stage1_train_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,cellpose_cpsam,clean,0.5,641.62,15,13,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.9222150848093316,0.9585369926877406,-2,2,True
stage1_train_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,cellpose_cpsam,clean,0.5,656.121,35,35,35,0,0,1.0,1.0,1.0,0.8994454966613153,0.945039985779698,0,0,True
stage1_train_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,cellpose_cpsam,clean,0.5,681.943,18,17,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.8770015520501391,0.9325666038773652,-1,1,True
stage1_train_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,cellpose_cpsam,clean,0.5,676.756,51,53,50,3,1,0.9433962264150944,0.9803921568627452,0.9615384615384616,0.8241971230982713,0.900980785033632,2,2,True
stage1_train_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,cellpose_cpsam,clean,0.5,706.844,26,25,23,2,3,0.92,0.8846153846153846,0.9019607843137256,0.8793740072248017,0.932485196641816,-1,1,True
stage1_train_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,cellpose_cpsam,clean,0.5,699.977,84,67,62,5,22,0.9253731343283582,0.7380952380952381,0.8211920529801325,0.7618829768150382,0.8609081738508256,-17,17,True
stage1_train_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,cellpose_cpsam,clean,0.5,663.08,9,7,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.8236695592986114,0.8972107648668353,-2,2,True
stage1_train_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,cellpose_cpsam,clean,0.5,655.714,32,30,28,2,4,0.9333333333333332,0.875,0.9032258064516128,0.7725850845000692,0.8692379215523454,-2,2,True
stage1_train_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,cellpose_cpsam,clean,0.5,692.308,22,20,20,0,2,1.0,0.9090909090909092,0.9523809523809524,0.8439993087340524,0.909829277876516,-2,2,True
stage1_train_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,cellpose_cpsam,clean,0.5,1938.61,130,133,129,4,1,0.9699248120300752,0.9923076923076924,0.9809885931558936,0.9236446103654712,0.9592265843239006,3,3,True
stage1_train_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,cellpose_cpsam,clean,0.5,3173.911,199,169,157,12,42,0.9289940828402368,0.7889447236180904,0.8532608695652174,0.7469638388185162,0.8518628813797368,-30,30,True
stage1_train_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,cellpose_cpsam,clean,0.5,716.98,24,24,24,0,0,1.0,1.0,1.0,0.9373298374250028,0.9667803785063406,0,0,True
