split,image_id,method,method_label,config_id,sweep_group,perturbation,perturbation_index,perturbation_params,iou_threshold,sam2_config,checkpoint,points_per_side,pred_iou_thresh,stability_score_thresh,min_mask_region_area,crop_n_layers,box_nms_thresh,raw_amg_masks,zero_prediction,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,sam2_amg,SAM2 AMG,stability_score_thresh_0.95,stability_score_thresh,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.95,15,0,0.7,116,False,1539.345,130,116,115,1,15,0.9913793103448276,0.8846153846153846,0.9349593495934959,0.9047871356609193,0.9493441548698128,-14,14
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam2_amg,SAM2 AMG,stability_score_thresh_0.95,stability_score_thresh,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.95,15,0,0.7,2,False,1956.981,199,2,0,2,199,0.0,0.0,0.0,0.0,0.0,-197,197
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam2_amg,SAM2 AMG,stability_score_thresh_0.95,stability_score_thresh,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.95,15,0,0.7,26,False,1392.975,24,26,23,3,1,0.8846153846153846,0.9583333333333334,0.9199999999999999,0.927909198135093,0.9603546039740493,2,2
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,24,False,1748.664,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,28,False,1861.221,28,14,6,8,22,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7128761269716368,0.8273001160975072,-14,14
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,75,False,1505.835,76,73,70,3,6,0.958904109589041,0.9210526315789473,0.9395973154362416,0.8988420766128888,0.9452414347742149,-3,3
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,17,False,1820.637,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,28,False,1531.019,23,3,0,3,23,0.0,0.0,0.0,0.0,0.0,-20,20
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,19,False,1554.954,12,9,4,5,8,0.4444444444444444,0.3333333333333333,0.380952380952381,0.8319024112450267,0.9062290318197201,-3,3
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,76,False,1860.589,136,66,6,60,130,0.09090909090909091,0.04411764705882353,0.05940594059405941,0.6979595710271228,0.8164295203584201,-70,70
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,31,False,1860.054,27,28,26,2,1,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9106210671854397,0.949909312479525,1,1
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,18,False,1628.35,15,15,12,3,3,0.8,0.8,0.8000000000000002,0.8459485344999537,0.9135994063096167,0,0
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,40,False,1686.523,35,23,7,16,28,0.30434782608695654,0.2,0.24137931034482762,0.6774720174498532,0.8038430934035156,-12,12
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,29,False,1568.659,18,10,4,6,14,0.4,0.2222222222222222,0.2857142857142857,0.9267374815932843,0.9618369297797085,-8,8
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,51,False,1746.188,51,1,0,1,51,0.0,0.0,0.0,0.0,0.0,-50,50
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,31,False,1877.25,26,30,23,7,3,0.7666666666666667,0.8846153846153846,0.8214285714285715,0.880103484245194,0.9331373406430324,4,4
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,72,False,1604.043,84,8,0,8,84,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,16,False,1395.137,9,9,6,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8359213207881829,0.9063787421642822,0,0
stage1_train_clean20_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,23,False,2153.513,32,22,13,9,19,0.5909090909090909,0.40625,0.4814814814814815,0.7561140911847843,0.8597340924360517,-10,10
stage1_train_clean20_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,24,False,1800.194,22,14,10,4,12,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9300555141652149,0.9635969362663923,-8,8
stage1_train_clean20_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,117,False,1520.85,130,15,0,15,130,0.0,0.0,0.0,0.0,0.0,-115,115
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,3,False,2168.137,199,2,0,2,199,0.0,0.0,0.0,0.0,0.0,-197,197
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam2_amg,SAM2 AMG,min_mask_region_area_0,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,0,0,0.7,28,False,1832.691,24,27,23,4,1,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9269554840960277,0.9598426396960273,3,3
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,24,False,1709.738,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,28,False,1774.823,28,14,6,8,22,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7128761269716368,0.8273001160975072,-14,14
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,75,False,1484.125,76,73,70,3,6,0.958904109589041,0.9210526315789473,0.9395973154362416,0.8988420766128888,0.9452414347742149,-3,3
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,17,False,1613.065,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,28,False,1546.791,23,3,0,3,23,0.0,0.0,0.0,0.0,0.0,-20,20
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,19,False,1546.055,12,9,4,5,8,0.4444444444444444,0.3333333333333333,0.380952380952381,0.8319024112450267,0.9062290318197201,-3,3
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,76,False,1822.839,136,66,6,60,130,0.09090909090909091,0.04411764705882353,0.05940594059405941,0.6979595710271228,0.8164295203584201,-70,70
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,31,False,1821.232,27,28,26,2,1,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9106210671854397,0.949909312479525,1,1
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,18,False,1589.122,15,15,12,3,3,0.8,0.8,0.8000000000000002,0.8459485344999537,0.9135994063096167,0,0
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,40,False,1688.065,35,23,7,16,28,0.30434782608695654,0.2,0.24137931034482762,0.6774720174498532,0.8038430934035156,-12,12
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,29,False,1592.876,18,10,4,6,14,0.4,0.2222222222222222,0.2857142857142857,0.9267374815932843,0.9618369297797085,-8,8
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,51,False,1684.281,51,1,0,1,51,0.0,0.0,0.0,0.0,0.0,-50,50
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,31,False,1702.896,26,30,23,7,3,0.7666666666666667,0.8846153846153846,0.8214285714285715,0.880103484245194,0.9331373406430324,4,4
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,72,False,1532.189,84,8,0,8,84,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,16,False,1313.53,9,9,6,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8359213207881829,0.9063787421642822,0,0
stage1_train_clean20_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,23,False,2068.655,32,22,13,9,19,0.5909090909090909,0.40625,0.4814814814814815,0.7561140911847843,0.8597340924360517,-10,10
stage1_train_clean20_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,24,False,1783.849,22,14,10,4,12,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9300555141652149,0.9635969362663923,-8,8
stage1_train_clean20_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,117,False,1486.168,130,15,0,15,130,0.0,0.0,0.0,0.0,0.0,-115,115
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,3,False,2132.458,199,2,0,2,199,0.0,0.0,0.0,0.0,0.0,-197,197
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam2_amg,SAM2 AMG,min_mask_region_area_25,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,25,0,0.7,28,False,1768.85,24,27,23,4,1,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9269554840960277,0.9598426396960273,3,3
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,24,False,1706.909,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,28,False,1771.517,28,14,6,8,22,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7128761269716368,0.8273001160975072,-14,14
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,75,False,1482.028,76,73,70,3,6,0.958904109589041,0.9210526315789473,0.9395973154362416,0.8988420766128888,0.9452414347742149,-3,3
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,17,False,1639.037,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,28,False,1532.968,23,3,0,3,23,0.0,0.0,0.0,0.0,0.0,-20,20
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,19,False,1519.609,12,9,4,5,8,0.4444444444444444,0.3333333333333333,0.380952380952381,0.8319024112450267,0.9062290318197201,-3,3
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,76,False,1808.635,136,66,6,60,130,0.09090909090909091,0.04411764705882353,0.05940594059405941,0.6979595710271228,0.8164295203584201,-70,70
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,31,False,1851.225,27,28,26,2,1,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9106210671854397,0.949909312479525,1,1
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,18,False,1616.958,15,15,12,3,3,0.8,0.8,0.8000000000000002,0.8459485344999537,0.9135994063096167,0,0
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,40,False,1682.263,35,23,7,16,28,0.30434782608695654,0.2,0.24137931034482762,0.6774720174498532,0.8038430934035156,-12,12
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,29,False,1519.919,18,10,4,6,14,0.4,0.2222222222222222,0.2857142857142857,0.9267374815932843,0.9618369297797085,-8,8
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,51,False,1666.137,51,1,0,1,51,0.0,0.0,0.0,0.0,0.0,-50,50
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,31,False,1751.81,26,30,23,7,3,0.7666666666666667,0.8846153846153846,0.8214285714285715,0.880103484245194,0.9331373406430324,4,4
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,72,False,1550.365,84,8,0,8,84,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,16,False,1328.177,9,9,6,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8359213207881829,0.9063787421642822,0,0
stage1_train_clean20_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,23,False,2046.573,32,22,13,9,19,0.5909090909090909,0.40625,0.4814814814814815,0.7561140911847843,0.8597340924360517,-10,10
stage1_train_clean20_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,sam2_amg,SAM2 AMG,min_mask_region_area_100,min_mask_region_area,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,100,0,0.7,24,False,1765.074,22,14,10,4,12,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9300555141652149,0.9635969362663923,-8,8
